1,absorb,learn
2,absorb,withdraw
3,achieve,accomplish
4,achieve,try
6,acquire,get
8,acquire,find
12,apple,lemon
13,apple,sunshine
14,area,region
16,area,corner
17,arm,shoulder
24,arm,neck
25,ball,cannon
26,ball,basket
34,bed,crib
38,bed,chair
39,belief,opinion
42,belief,flower
43,bird,hawk
44,bird,turkey
51,bone,neck
52,bone,teeth
55,book,literature
62,book,theme
64,boy,brother
65,boy,soldier
67,cat,lion
69,cat,rabbit
73,clothes,fabric
74,clothes,button
77,create,make
80,create,destroy
83,cup,tableware
85,cup,object
90,drink,eat
91,drink,car
94,father,parent
96,father,brother
98,flower,violet
99,flower,bulb
100,flower,endurance
102,glass,metal
103,glass,magician
104,guy,stud
105,guy,partner
107,horse,mare
109,horse,ox
110,join,add
111,join,marry
112,join,acquire
113,king,princess
114,king,queen
115,king,rook
116,king,cabbage
117,lose,fail
118,lose,keep
123,man,victor
124,man,sentry
125,man,husband
127,man,woman
129,meat,bacon
131,meat,bread
132,media,radio
133,media,trading
137,money,diamond
138,money,cash
140,precedent,antecedent
141,precedent,information
145,situation,condition
146,situation,conclusion
147,situation,isolation
148,street,alley
149,street,car
151,street,avenue
155,take,obtain
157,take,carry
160,take,leave
161,tiger,feline
164,tiger,animal
165,tiger,organism
730,replaster,plaster
729,replaster,grass
172,happy,cheerful
173,happy,young
175,car,highway
177,car,cab
178,bad,immoral
179,bad,great
181,accept,deliver
182,accept,believe
4012,journey,long distance
4013,place,long distance
5001,student,war criminal
3002,jet,war criminal
7001,flood relief,canal restoration
7002,flood relief,horn
7003,paddle gearing,lock gate
7004,paddle gearing,reverse gates
722,antipositivism,positive
723,antipositivism,negativism
